main_id sp_type plx_value plx_err teff logg fe_h vmag kmag
TOI-2885 "" 0.8169 0.01860000006854534 "" "" "" 11.821999549865723 11.519000053405762
"BSD   8-258" G0 3.296 0.020400000736117363 "" "" "" 11.239999771118164 9.781999588012695
"UCAC4 152-017188" "" 0.937 0.030899999663233757 "" "" "" 13.89799976348877 12.345999717712402
"TYC 2189-1730-1" "" 5.3142 0.01600000075995922 "" "" "" 11.300000190734863 9.70199966430664
"UCAC4 437-012745" "" 1.4462 0.016699999570846558 "" "" "" 13.038000106811523 11.498000144958496
TOI-2836 "" 2.5772 0.014399999752640724 "" "" "" 12.420000076293945 10.71500015258789
"CD-32    55" "" 1.4179 0.012900000438094139 "" "" "" 12.619999885559082 10.878999710083008
"TYC 8829-3-1" "" 2.5222 0.02669999934732914 6445.5 4.092100024223328 -0.14000000059604645 11.265000343322754 10.128000259399414
"BD+24  2880" F8 4.4161 0.01730000041425228 "" "" "" 9.420000076293945 8.295999526977539
"TYC 3625-246-1" "" 0.9301 0.023099999874830246 "" "" "" 11.390000343322754 11.156000137329102
TOI-3331 "" 4.4862 0.026200000196695328 5521.0 4.489999771118164 0.15000000596046448 11.640000343322754 9.913999557495117
"TYC 8960-1699-1" "" 1.4766 0.014499999582767487 "" "" "" 11.482999801635742 10.819999694824219
"V* IS Per" "" 2.7749 0.10649999976158142 "" "" "" 12.545000076293945 10.503000259399414
Kepler-1270 K0IV 0.8912 0.009499999694526196 4973.4 3.4857777489556208 -0.019399999640882015 13.519000053405762 11.241999626159668
TOI-3048 "" 0.2201 0.010900000110268593 "" "" "" 12.5 11.642000198364258
TOI-2722 "" 2.7004 0.0658000037074089 5272.5 4.0355000495910645 "" 11.899999618530273 10.098999977111816
"UCAC4 356-060189" "" 5.3431 0.019700000062584877 4618.5 4.608150005340576 0.06799999997019768 13.628999710083008 10.817999839782715
"UCAC4 578-117723" "" "" "" "" "" "" "" 10.571000099182129
"UCAC4 284-048051" "" 1.3632 0.012199999764561653 "" "" "" 13.557000160217285 11.805999755859375
"UCAC4 635-007621" "" 1.1557 0.01549999974668026 "" "" "" 13.532999992370605 11.788000106811523
"LP  466-156" dM4 35.5096 0.03020000085234642 4328.5 1.059499979019165 -0.08050000295042992 14.649999618530273 10.470000267028809
"UCAC4 191-092305" "" 0.977 0.013299999758601189 "" "" "" 13.465999603271484 11.680000305175781
Kepler-134 F8V 2.9701 0.010599999688565731 5910.611111111111 4.382141141330495 -0.2313374988734722 12.369000434875488 10.951000213623047
TOI-3899 "" 5.1677 0.012799999676644802 "" "" "" 12.15999984741211 10.0
"UCAC4 521-007173" K3V 6.6783 0.017500000074505806 4839.571428571428 4.349285806928362 -0.10572499874979258 13.079999923706055 10.272000312805176
TOI-3256 "" 2.3132 0.010200000368058681 "" "" "" 13.175999641418457 11.531999588012695
"UCAC4 717-069486" "" 1.8656 0.012900000438094139 "" "" "" "" 11.954999923706055
TOI-795 "" 4.6568 0.012900000438094139 6201.5 4.2858500480651855 -0.1679999977350235 10.619999885559082 9.520999908447266
TOI-542 "" 1.0362 0.025299999862909317 "" "" "" 15.598999977111816 13.5
KOI-4711 "" 0.513 0.027000000700354576 "" "" "" "" 13.765000343322754
KOI-4287 F6IV 2.4263 0.06260000169277191 6151.0 4.1264000960758755 -0.058985715066748004 11.260000228881836 10.043999671936035
"DENIS J221133.4-063406" "" 0.0708 0.23690000176429749 "" "" "" "" ""
KOI-4457 F7IV 0.9811 0.050700001418590546 6071.428571428572 4.111499945322673 -0.2328571421759469 "" 12.444000244140625
KOI-5388 G5V 0.7897 0.012400000356137753 5420.0 3.7200000286102295 -0.1239999992152055 "" 11.739999771118164
KOI-4353 "" 0.4681 0.08129999786615372 "" "" "" "" 14.010000228881836
KOI-6276 "" 3.6084 0.7050999999046326 4342.666666666667 4.7184998989105225 -0.10723333433270454 "" 12.718000411987305
HAT-P-3 K1V 7.4159 0.014299999922513962 5158.888888888889 4.479111194610596 0.330999998582734 11.859999656677246 9.447999954223633
TOI-4159 "" 1.2868 0.013899999670684338 "" "" "" 12.734000205993652 11.1899995803833
"*  42 Dra" K1.5IIIFe-1 11.056 0.08410000056028366 4443.096774193548 2.045489990711212 -0.4479199965794881 4.822999954223633 2.0850000381469727
"UCAC4 529-145956" "" 1.0505 0.020899999886751175 "" "" "" "" 12.36299991607666
TOI-3734 "" "" "" "" "" "" 14.298999786376953 11.85200023651123
KOI-3013 "" 1.2258 0.016100000590085983 5485.75 4.422399878501892 0.11105000227689743 "" 13.130000114440918
"PSR J0610-2100" "" 0.5 0.5 "" "" "" "" ""
