    star_name|sy_dist|st_spectype|st_rad|st_teff|st_mass|st_age|ra|dec|sy_vmag|sy_jmag|sy_hmag|sy_kmag|known_binary_fl|gaia_binary_fl|WDSsep|wds_deltamag
TIC 99143515|29.3073|null||||null|183.67663|-24.775515|null|null|null|null|1|0|4.3|-6.739999999999999
TIC 38450015||null||||null|138.068926|-26.478949|null|null|null|null|0|0|null|null
TIC 464574276||G8III||||null|156.581027|-58.327755|null|null|null|null|1|0|0.2|0.1999999999999993
TIC 2053193606||null||||null|354.98923662139|5.6245375294|7.89295|7.89295|7.89295|7.89295|0|0|null|null
TIC 34856861|38.6538|G2VFe-3|0.8619137930984788|5963.0|0.73|11.45|47.106551|26.330962|7.904065132141113|7.904065132141113|7.904065132141113|7.904065132141113|1|1|10.5|8.399999999999999
TIC 139606083||M7||||null|151.745494|-49.934437|null|null|null|null|0|0|null|null
TIC 66389641|43.93673110720562|B9IVp_lB?|7.492801852740264|8930.0|2.251255233537309|null|276.04279579615|-34.3851449797|null|null|null|null|1|0|38.6|12.45
TIC 66927593||K1III||||null|240.418929|-24.325201|null|null|null|null|1|0|0.3|0.33
TIC 524115715||null||||null|217.81891622402|-67.71724337502|7.96454|7.96454|7.96454|7.96454|1|0|0.7|2.8100000000000005
TIC 351699901||null||||null|258.176521|23.873768|null|null|null|null|0|0|null|null
TIC 458859916||OBepec||5304.4323552350015||null|161.26482802695|-59.6844769407|8.06557|8.06557|8.06557|8.06557|1|0|0.2|0.1000000000000005
TIC 471013492||null||||null|302.26783303|-74.2191991|null|null|null|null|0|0|null|null
TIC 264595340||null||||null|109.384299|9.209435|null|null|null|null|0|0|null|null
TIC 520137117||null||||null|308.30325409656|11.30304817994|8.03057|8.03057|8.03057|8.03057|0|0|null|null
TIC 97086494||null||||null|265.572295|-49.27195|null|null|null|null|0|0|null|null
TIC 97815168|46.7|K5V(e)|1.262085158840903|4213.0|0.6589731867856506|null|170.522061|-24.777603|null|null|null|null|1|0|0.3|0.4700000000000006
TIC 48658373|44.38526409232135|K0V|1.0836524360624238|5271.0|0.9033261977555702|null|96.850382|-25.73451|null|null|null|null|1|0|0.5|0.3099999999999987
TIC 425288236||null||||null|288.175963|24.576977|null|null|null|null|1|0|3.6|-3.700000000000001
TIC 630578178|49.8557|null||||null|20.33067933853|11.53668813332|7.9224|7.9224|7.9224|7.9224|1|0|0.6|-1.739999999999999
TIC 294207072||null||||null|108.10792|-59.143162|null|null|null|null|0|0|null|null
TIC 84331853||null||||null|57.775666|25.593821|null|null|null|null|0|0|null|null
TIC 160535836||F8||5867.046694776259||null|241.624065|75.776908|null|null|null|null|1|0|0.5|-0.4800000000000004
TIC 158851047||G5||||null|269.997197|24.810863|null|null|null|null|1|0|0.3|0.0
TIC 55500829||null||||null|71.900289|-62.824963|null|null|null|null|0|0|null|null
TIC 229602478||G8V||5491.76040307588||null|197.62605138395|-25.88875029626|8.868044|8.868044|8.868044|8.868044|1|0|0.3|0.1999999999999993
TIC 311865516||null||||null|66.666248|-49.937523|null|null|null|null|0|0|null|null
TIC 29922518||null||||null|24.460711|-14.94052|null|null|null|null|0|0|null|null
TIC 141276792|44.014084507042256|K5V|1.119204091615048|4481.0|0.7031281281756355|null|190.544713|26.360988|null|null|null|null|1|0|0.3|-0.0099999999999997
TIC 302437136||K0||||null|262.327971|8.184072|null|null|null|null|1|0|0.3|0.200000000000001
TIC 287081516|21.58|M0V|0.8413805638327326|4138.0|0.647660514240872|null|220.640165|19.479681|null|null|null|null|1|0|0.4|0.2800000000000011
TIC 11895653|25.6476|A0Ve+K2V|3.1610898967458705|9311.0|2.363135965047291|null|178.45756125256|53.69474969408|null|null|null|null|1|0|999.9|5.8100000000000005
TIC 500151505||null||||null|81.11945499127|-2.39734527347|8.1828|8.1828|8.1828|8.1828|0|0|null|null
TIC 79410842||null||||null|90.267943|28.611917|null|null|null|null|0|0|null|null
TIC 388509383||K0||5733.0||null|357.06701371714|82.78604873228|8.727999|8.727999|8.727999|8.727999|1|0|0.5|0.0699999999999985
TIC 384708922||null||||null|257.285521|-81.32399|null|null|null|null|0|0|null|null
TIC 90585844||null||||null|301.761511|32.284199|null|null|null|null|0|0|null|null
TIC 323857395||null||||null|290.151806|6.643054|null|null|null|null|0|0|null|null
TIC 958073811||null||||null|199.48036925412|-68.49591747407|7.82544|7.82544|7.82544|7.82544|0|0|null|null
TIC 154728907||null||||null|259.932158|-31.691818|null|null|null|null|0|0|null|null
TIC 293521985|10.5318588730911|M3V|0.7209810036065879|3479.0|0.5368483809217346|null|142.831|-13.4887|null|null|null|null|1|0|0.4|0.1999999999999993
TIC 259476486||G8III||||null|70.65864|-52.163937|null|null|null|null|1|0|0.5|-0.2699999999999996
TIC 1001113022||B3V|2.442355487291547|17870.0|5.451085742459493|null|206.88435898896|49.31320798716|1.881019|1.881019|1.881019|1.881019|1|0|null|null
TIC 1525321|36.7461|K0V|0.5638872568386599|5231.0|0.8923443386628453|null|156.578533|-17.748261|null|null|null|null|0|0|null|null
